Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,05-02-2010,1643690.9,0.0,42.0,2.57,211.1,8.106
1,12-02-2010,1641957.44,1.0,39.0,2.55,211.24,8.106
1,19-02-2010,1611968.17,0.0,40.0,2.51,211.29,8.106
1,26-02-2010,1409727.59,0.0,47.0,2.56,211.32,8.106
1,05-03-2010,1554806.68,0.0,46.0,2.62,211.35,8.106
1,12-03-2010,1439541.59,0.0,58.0,2.67,211.38,8.106
1,19-03-2010,1472515.79,0.0,55.0,2.72,211.22,8.106
1,26-03-2010,1404429.92,0.0,51.0,2.73,211.02,8.106
1,02-04-2010,1594968.28,0.0,62.0,2.72,210.82,7.808
1,09-04-2010,1545418.53,0.0,66.0,2.77,210.62,7.808
1,16-04-2010,1466058.28,0.0,66.0,2.81,210.49,7.808
1,23-04-2010,1391256.12,0.0,65.0,2.8,210.44,7.808
1,30-04-2010,1425100.71,0.0,67.0,2.78,210.39,7.808
1,07-05-2010,1603955.12,0.0,73.0,2.84,210.34,7.808
1,14-05-2010,1494251.5,0.0,75.0,2.85,210.34,7.808
1,21-05-2010,1399662.07,0.0,76.0,2.83,210.62,7.808
1,28-05-2010,1432069.95,0.0,80.0,2.76,210.9,7.808
1,04-06-2010,1615524.71,0.0,81.0,2.7,211.18,7.808
1,11-06-2010,1542561.09,0.0,80.0,2.67,211.46,7.808
1,18-06-2010,1503284.06,0.0,84.0,2.64,211.45,7.808
1,25-06-2010,1422711.6,0.0,84.0,2.65,211.34,7.808
1,02-07-2010,1492418.14,0.0,81.0,2.67,211.22,7.787
1,09-07-2010,1546074.18,0.0,80.0,2.64,211.11,7.787
1,16-07-2010,1448938.92,0.0,82.0,2.62,211.1,7.787
1,23-07-2010,1385065.2,0.0,83.0,2.61,211.24,7.787
1,30-07-2010,1371986.6,0.0,85.0,2.64,211.37,7.787
1,06-08-2010,1605491.78,0.0,86.0,2.63,211.5,7.787
1,13-08-2010,1508237.76,0.0,87.0,2.69,211.64,7.787
1,20-08-2010,1513080.49,0.0,87.0,2.66,211.6,7.787
1,27-08-2010,1449142.92,0.0,85.0,2.62,211.57,7.787
1,03-09-2010,1540163.53,0.0,81.0,2.58,211.53,7.787
1,10-09-2010,1507460.69,1.0,79.0,2.56,211.5,7.787
1,17-09-2010,1430378.67,0.0,82.0,2.58,211.52,7.787
1,24-09-2010,1351791.03,0.0,81.0,2.62,211.6,7.787
1,01-10-2010,1453329.5,0.0,72.0,2.6,211.67,7.838
1,08-10-2010,1508239.93,0.0,64.0,2.63,211.75,7.838
1,15-10-2010,1459409.1,0.0,67.0,2.72,211.81,7.838
