Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,05-02-2010,1643690.9,0.0,42.0,2.57,211.096,8.106
1,12-02-2010,1641957.44,1.0,39.0,2.55,211.242,8.106
1,,1611968.17,0.0,40.0,2.51,211.289,8.106
1,26-02-2010,1409727.59,0.0,47.0,2.56,211.32,
1,05-03-2010,1554806.68,0.0,46.0,2.62,211.35,
1,12-03-2010,1439541.59,0.0,58.0,2.67,211.381,
1,19-03-2010,1472515.79,0.0,55.0,2.72,211.216,
1,26-03-2010,1404429.92,0.0,51.0,2.73,211.018,8.106
1,02-04-2010,1594968.28,0.0,62.0,2.72,210.82,7.808
1,09-04-2010,1545418.53,0.0,66.0,2.77,210.623,7.808
1,16-04-2010,1466058.28,0.0,66.0,2.81,210.489,7.808
1,23-04-2010,1391256.12,0.0,65.0,2.8,210.439,7.808
1,30-04-2010,1425100.71,0.0,67.0,2.78,210.39,7.808
1,07-05-2010,1603955.12,0.0,73.0,2.84,210.34,7.808
1,14-05-2010,1494251.5,0.0,75.0,2.85,210.337,7.808
1,21-05-2010,1399662.07,0.0,76.0,2.83,210.617,7.808
1,28-05-2010,1432069.95,0.0,80.0,2.76,210.897,7.808
1,04-06-2010,1615524.71,0.0,81.0,2.7,211.176,7.808
1,11-06-2010,1542561.09,0.0,80.0,2.67,211.456,7.808
1,18-06-2010,1503284.06,0.0,84.0,2.64,211.454,7.808
1,25-06-2010,1422711.6,0.0,84.0,2.65,211.339,7.808
1,02-07-2010,1492418.14,0.0,81.0,2.67,211.224,7.787
1,09-07-2010,1546074.18,0.0,80.0,2.64,211.108,7.787
1,16-07-2010,1448938.92,0.0,,2.62,211.1,7.787
1,23-07-2010,1385065.2,0.0,,2.61,211.235,7.787
1,30-07-2010,1371986.6,0.0,,2.64,211.37,7.787
1,06-08-2010,1605491.78,0.0,,2.63,211.505,7.787
1,13-08-2010,1508237.76,0.0,87.0,2.69,211.639,7.787
1,20-08-2010,1513080.49,0.0,87.0,2.66,211.603,7.787
1,27-08-2010,1449142.92,0.0,85.0,2.62,211.567,7.787
1,03-09-2010,1540163.53,0.0,81.0,2.58,211.531,7.787
1,10-09-2010,1507460.69,1.0,79.0,2.56,211.495,7.787
1,17-09-2010,1430378.67,0.0,82.0,2.58,211.522,7.787
1,24-09-2010,1351791.03,0.0,81.0,2.62,211.597,7.787
1,01-10-2010,1453329.5,0.0,72.0,2.6,211.672,7.838
